Segment	Family			Model	capacity		RPM		Interface		Buffer size	Sector size
Mobile	 M7 (Enhanced)	HM641JI	 640	5400	SATA 3.0 Gbps	8		512
Mobile	M8			HN-M640MBB	640		5400	SATA 3.0 Gbps	8
Mobile	MP4				HM640JJ	640		7200	SATA 3.0 Gbps	16
Desktop	F3  			HD502HJ	 640	7200	SATA 3.0 Gbps	16		512
Desktop	F1EG			HD642JI	 640	????	SATA 3.0 Gbps	16		512

Mobile	Mt2				HM750LI	 750	5400	SATA 3.0 Gbps	8
Mobile	M8			HN-M750MBB	 750	5400	SATA 3.0 Gbps	8
Desktop	F1DT			HD322HJ	 750	7200	SATA 3.0 Gbps	32		512
Desktop	F2EG			HD753LI	 750	????	SATA 3.0 Gbps	32		512
Desktop	F3  			HD754JJ	 750	7200	SATA 3.0 Gbps	32		512
Desktop	F3EG			HD754JI	 750	????	SATA 3.0 Gbps	32		512
Enterprise	F3R			HE754JJ	750		7200	SATA 3.0 Gbps	32		512

Mobile	Mt2				HM100UI	1000	5400	SATA 3.0 Gbps	8
Mobile	M8			HN-M101MBB	1000	5400	SATA 3.0 Gbps	8
Desktop	F2EG			HD102SI	1000	????	SATA 3.0 Gbps	16		512
Desktop	F1DT			HD502IJ	1000	7200	SATA 3.0 Gbps	32		512
Desktop	F2EG			HD103SI	1000	????	SATA 3.0 Gbps	32		512
Desktop	F2EG			HD103UI	1000	????	SATA 3.0 Gbps	32		512
Desktop	F3  			HD103SJ	1000	7200	SATA 3.0 Gbps	32		512
Desktop	F3EG			HD105SI	1000	????	SATA 3.0 Gbps	32		512
Enterprise	F3R			HE103SJ	1000	7200	SATA 3.0 Gbps	32		512

Desktop	F1EG			HD153UI	1500	????	SATA 3.0 Gbps	16		512
Desktop	F1EG			HD154UI	1500	????	SATA 3.0 Gbps	32		512
Desktop	F3eG			HD153WI	1500	????	SATA 3.0 Gbps	32		512
Desktop	F4eG-3			HD155UI	1500	????	SATA 3.0 Gbps	32		4096

Enterprise	F3R			HE253GJ	250		7200	SATA 3.0 Gbps	16		512
Enterprise	F3R			HE502HJ	500		7200	SATA 3.0 Gbps	16		512

Desktop	F3eG			HD203WI	2000	????	SATA 3.0 Gbps	32		512
Desktop	F4eG-3			HD204UI	2000	????	SATA 3.0 Gbps	32		4096
