model		interface	capacity		buffer_size	rpm
WD1005FBYZ	SATA 6 Gb/s	1000.204		128	7200

WD5000ABPS	SATA 3 Gb/s	 500.107		16	????
WD7500AYPS	SATA 3 Gb/s	 750.156		16	????
WD1000FYPS	SATA 3 Gb/s	1000.204		16	????

WD2502ABYS	SATA 3 Gb/s	250.059			16	7200
WD3202ABYS	SATA 3 Gb/s	320.072			16	7200
WD5001ABYS	SATA 3 Gb/s	500.107			16	7200
WD5002ABYS	SATA 3 Gb/s	500.107			16	7200
WD1601ABYS	SATA 3 Gb/s	164.696			16	7200
WD1600YS	SATA 3 Gb/s	164.696			16	7200
WD2500YS	SATA 3 Gb/s	251				16	7200
WD3200YS	SATA 3 Gb/s	320.072			16	7200
WD4000YS	SATA 3 Gb/s	400				16	7200

WD1001FALS	SATA 3 Gb/s	1000.204		32	7200
WD7501AALS	SATA 3 Gb/s	 750.156		32	7200
WD6401AALS	SATA 3 Gb/s	 640.135		32	7200
WD5001AALS	SATA 3 Gb/s	 500.107		32	7200

WD7502AAEX	SATA 6 Gb/s	 750.156		64	7200
WD6402AAEX	SATA 6 Gb/s	 640.135		64	7200
WD5002AALX	SATA 6 Gb/s	 500.107		32	7200


WD10JPVT	SATA 3 Gb/s	1000.204		8	5400
WD10TPVT	SATA 3 Gb/s	1000.204		8	5400
WD7500BPVT	SATA 3 Gb/s	 750.156		8	5400
WD6400BPVT	SATA 3 Gb/s	 640.135		8	5400
WD5000BPVT	SATA 3 Gb/s	 500.107		8	5400
WD5000LPVT	SATA 3 Gb/s	 500.107		8	5400
WD5000BEVT	SATA 3 Gb/s	 500.107		8	5400
WD3200BPVT	SATA 3 Gb/s	 320.072		8	5400
WD6400BEVT	SATA 3 Gb/s	640.135			8	5400
WD7500KPVT	SATA 3 Gb/s	750.156			8	5200
WD1200BEVT	SATA 3 Gb/s	120.034			8	5400
WD800BEVT	SATA 3 Gb/s	80.026			8	5400
WD3200LPVT	SATA 3 Gb/s	 320.072		8	5400
WD3200BEVT	SATA 3 Gb/s	 320.072		8	5400
WD2500BPVT	SATA 3 Gb/s	 250.059		8	5400
WD2500LPVT	SATA 3 Gb/s	 250.059		8	5400
WD4000BEVT	SATA 3 Gb/s	 400.088		8	5400

WD2500BEVT	SATA 3 Gb/s	 250.059		8	5400
WD1600BPVT	SATA 3 Gb/s	 160.041		8	5400
WD1600BEVT	SATA 3 Gb/s	 160.041		8	5400

WD2500AAKS	SATA 3 Gb/s	 250.059		16	7200
WD2500AAJS	SATA 3 Gb/s	 250.059		8	7200
WD1600AAJS	SATA 3 Gb/s	 160.041		8	7200

WD5000AAJS	SATA 3 Gb/s	 500.107		8	7200
WD4000AAJS	SATA 3 Gb/s	 400.088		8	7200
WD3200AAJS	SATA 3 Gb/s	 320.072		8	7200
WD1200AAJS	SATA 3 Gb/s	 120.034		8	7200
WD800AAJS	SATA 3 Gb/s		  80		8	7200
WD400JD 	SATA 3 Gb/s	  40.020		8	7200
WD800JD 	SATA 3 Gb/s	  80.026		8	7200
WD2500JS	SATA 3 Gb/s	 250.059		8	7200
WD2000JS	SATA 3 Gb/s	 200.059		8	7200
WD1600JS	SATA 3 Gb/s	 160.041		8	7200

WD1200JD	SATA 1.5 Gb/s	 120.034	8	7200
WD1600JD	SATA 1.5 Gb/s	 160.041	8	7200
WD2000JD	SATA 1.5 Gb/s	 200.049	8	7200
WD2500JD	SATA 1.5 Gb/s	 250.059	8	7200

WD2001FASS	SATA 3 Gb/s	2000.398		64	7200
WD2002FAEX	SATA 6 Gb/s	2000.398		64	7200
WD1501FASS	SATA 3 Gb/s	1500.301		64	7200
WD1502FAEX	SATA 6 Gb/s	1500.301		64	7200
WD1002FAEX	SATA 6 Gb/s	1000.204		64	7200

WD10EAVS	SATA 3 Gb/s	1000.204		8	????
WD10EACS	SATA 3 Gb/s	1000.204		16	????
WD10EADS	SATA 3 Gb/s	1000.204		32	????
WD15EADS	SATA 3 Gb/s	1500.301		32	????
WD20EADS	SATA 3 Gb/s	2000.398		32	????
WD20EARS	SATA 3 Gb/s	2000.398		64	????

WD3200AACS	SATA 3 Gb/s	 320			16	????
WD5000AACS	SATA 3 Gb/s	 500.107		16	????
WD5000AAVS	SATA 3 Gb/s	 500.107		8	????
WD6400AACS	SATA 3 Gb/s	 640.135		16	????
WD6400AAVS	SATA 3 Gb/s	 640.135		8	????
WD7500AACS	SATA 3 Gb/s	 750.156		16	????
WD7500AAVS	SATA 3 Gb/s	 750.156		8	????

WD10EARS	SATA 3 Gb/s	 1000.204		64	????
WD15EARS	SATA 3 Gb/s	 1500.301		64	????
WD7500AADS	SATA 3 Gb/s	 750.156		32	????
WD6400AADS	SATA 3 Gb/s	 640.135 		32	????
WD6400AARS	SATA 3 Gb/s	 640.135 		64	????
WD7500AARS	SATA 3 Gb/s	 750.156		64	????
WD8000AARS	SATA 3 Gb/s	 800			64	????
WD5000AADS	SATA 3 Gb/s	 500.107		32	????

WD25EZRSDTL	SATA 3 Gb/s	2500			64	????
WD30EZRSDTL	SATA 3 Gb/s	3000.592		64	????

WD7500AAKS	SATA 3 Gb/s	 750.156		16	7200
WD1600AABS	SATA 3 Gb/s	 160.041		 2	7200
WD800BD		SATA 3 Gb/s	  80.026		 2	7200
WD4000YR	SATA 1.5 Gb/s	 400.088	16	7200
WD1002FBYS	SATA 3 Gb/s	1000.204		32	7200
WD7502ABYS	SATA 3 Gb/s	 750.156		32	7200
WD5000ABYS	SATA 3 Gb/s	500				16	7200


WD5000YS	SATA 3 Gb/s	 500			??	7200
WD500YS		SATA 3 Gb/s	 500			??	7200
WD7500AY	SATA 3 Gb/s	 750			??	7200
WD1200JS	SATA 3 Gb/s	 120			??	7200
WD4000YD	SATA 3 Gb/s	 400			??	7200
WD5000KS	SATA 3 Gb/s	 500			??	7200

WD1001X06XDT	SATA 6 Gb/s	1000.204	??	????
WD5000MPCK	SATA 6 Gb/s	500			16	5400

WD20NPVX	SATA 6 Gb/s	2000.802		8	????
WD15NPVX	SATA 6 Gb/s	1500 			8	????
WD7500AURS	SATA 3 Gb/s	750.156			64	????

WD10EUCX	SATA 6 Gb/s	1000.204		16	????
WD4003FZEX	SATA 6 Gb/s	4000			64	7200
WD2003FZEX	SATA 6 Gb/s	2000.802		64	7200
WD4001FAEX	SATA 6 Gb/s	4000			64	7200
WD3001FAEX	SATA 6 Gb/s	3000.592		64	7200
WD3003FZEX	SATA 6 Gb/s	3000.592		64	7200
WD1003FZEX	SATA 6 Gb/s	1000.204		64	7200
WD5003AZEX	SATA 6 Gb/s	 500			64	7200
WD1000CHTZ	SATA 6 Gb/s	1000.204		64	10000
WD5000BHTZ	SATA 6 Gb/s	500				64	10000
WD2500BHTZ	SATA 6 Gb/s	250				64	10000
WD9001BKHG	SAS 6 Gb/s	900				32	10000
WD6001BKHG	SAS 6 Gb/s	600				32	10000
WD4501BKHG	SAS 6 Gb/s	450				32	10000
WD3001BKHG	SAS 6 Gb/s	300				32	10000

WD6003FZBX	SATA 6 Gb/s	6000			256	7200
WD6002FZWX	SATA 6 Gb/s	6000			128	7200
WD4005FZBX	SATA 6 Gb/s	4000			256	7200
WD4004FZWX	SATA 6 Gb/s	4000			128	7200

WD5003AZEX	SATA 6 Gb/s	5000			64	7200

WD1460BKFG	SAS 6 Gb/s	146				??	10000
WD3000BKFG	SAS 6 Gb/s	300				??	10000
WD6000BKHG	SAS 6 Gb/s	600				??	10000
WD4500BKHG	SAS 6 Gb/s	450				??	10000

WD9001HKHG	SAS 6 Gb/s	900				32	10000
WD6001HKHG	SAS 6 Gb/s	600				32	10000
WD4501HKHG	SAS 6 Gb/s	450				32	10000
WD3001HKHG	SAS 6 Gb/s	300				32	10000
WD4001FYYG	SAS 6 Gb/s	4000			32	7200
WD3001FYYG	SAS 6 Gb/s	3000.592		32	7200
